graph_id,construction_type,N,k_target,provenance_seed,degree_mean,degree_std,degree_min,degree_max,degree_kurtosis,centrality_mean,edge_algebraic_label_mean,omega_exact,alpha_exact,omega_lower,omega_upper,alpha_lower,alpha_upper,theta_approx,spectral_gap,is_k_free,triangles,k4,n_1_over_k,exact,gpu_kernel,run001,field,device,adj_matrix_path,algebraic_residue_vec_0,algebraic_residue_vec_1,algebraic_residue_vec_2,algebraic_residue_vec_3,algebraic_residue_vec_4,algebraic_residue_vec_5,algebraic_residue_vec_6,algebraic_residue_vec_7,algebraic_residue_vec_8,algebraic_residue_vec_9,job,cell,kernel,symmetry,params,scale,runtime_sec
circulant_r3_n14,circulant_r3,14,6,14,4.0,0.0,4.0,4.0,0.0,0.3076923076923076,0.3076923076923077,2,5,2,2,5,5,6.055517563524864,2.307978528369904,True,0,-1,1.5524632891554087,True,sum-free ILS in distance space O(n) vars,not_done,Z/14Z,numpy-openblas,data/adj/circulant_r3_n14.npy,1,0,0,1,0,0,0,0,0,1,2c,"R(3,k)",fft,circulant,"{""n"": 14, ""S"": [1, 4, 10, 13], ""score"": 6.055517563524864}",local,
circulant_r3_n15,circulant_r3,15,7,15,4.0,0.0,4.0,4.0,0.0,0.28571428571428564,0.2857142857142857,2,6,2,2,6,6,6.7082039324993685,2.381966011250105,True,0,-1,1.4723567001803468,True,sum-free ILS in distance space O(n) vars,not_done,Z/15Z,numpy-openblas,data/adj/circulant_r3_n15.npy,1,0,0,1,0,0,0,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 15, ""S"": [1, 4, 11, 14], ""score"": 6.7082039324993685}",local,
circulant_r3_n16,circulant_r3,16,7,16,6.0,0.0,6.0,6.0,0.0,0.4,0.4,2,6,2,2,6,6,7.1344464995648975,4.0,True,0,-1,1.4859942891369484,True,sum-free ILS in distance space O(n) vars,not_done,Z/16Z,numpy-openblas,data/adj/circulant_r3_n16.npy,0,0,1,1,1,0,0,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 16, ""S"": [3, 4, 5, 11, 12, 13], ""score"": 7.1344464995648975}",local,
circulant_r3_n17,circulant_r3,17,7,17,4.0,0.0,4.0,4.0,0.0,0.25,0.25,2,6,2,2,6,6,7.15306701705469,1.9505188222646845,True,0,-1,1.498919872071562,True,sum-free ILS in distance space O(n) vars,not_done,Z/17Z,numpy-openblas,data/adj/circulant_r3_n17.npy,0,0,0,0,0,1,1,0,0,1,2c,"R(3,k)",fft,circulant,"{""n"": 17, ""S"": [6, 7, 10, 11], ""score"": 7.15306701705469}",local,
circulant_r3_n18,circulant_r3,18,7,18,4.0,0.0,4.0,4.0,0.0,0.23529411764705882,0.23529411764705882,2,6,2,2,6,6,7.714285714285715,1.4679111137620438,True,0,-1,1.511209390509403,True,sum-free ILS in distance space O(n) vars,not_done,Z/18Z,numpy-openblas,data/adj/circulant_r3_n18.npy,0,1,1,0,0,0,0,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 18, ""S"": [2, 3, 15, 16], ""score"": 7.714285714285715}",local,
circulant_r3_n19,circulant_r3,19,7,19,6.0,0.0,6.0,6.0,0.0,0.33333333333333326,0.3333333333333333,2,6,2,2,6,6,8.178989998367516,4.369032343605359,True,0,-1,1.5229269982187534,True,sum-free ILS in distance space O(n) vars,not_done,Z/19Z,numpy-openblas,data/adj/circulant_r3_n19.npy,1,0,1,0,0,0,1,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 19, ""S"": [1, 3, 7, 12, 16, 18], ""score"": 8.178989998367516}",local,
circulant_r3_n20,circulant_r3,20,8,20,5.0,0.0,5.0,5.0,0.0,0.26315789473684215,0.2631578947368421,2,7,2,2,7,7,8.62809896945041,2.76393202250021,True,0,-1,1.4542154334489537,True,sum-free ILS in distance space O(n) vars,not_done,Z/20Z,numpy-openblas,data/adj/circulant_r3_n20.npy,1,0,0,1,0,0,0,0,0,1,2c,"R(3,k)",fft,circulant,"{""n"": 20, ""S"": [1, 4, 10, 16, 19], ""score"": 8.62809896945041}",local,
circulant_r3_n21,circulant_r3,21,7,21,6.0,0.0,6.0,6.0,0.0,0.29999999999999993,0.3,2,6,2,2,6,6,8.461335809337083,3.803214207607557,True,0,-1,1.5448576602501738,True,sum-free ILS in distance space O(n) vars,not_done,Z/21Z,numpy-openblas,data/adj/circulant_r3_n21.npy,0,1,0,0,0,0,0,1,1,0,2c,"R(3,k)",fft,circulant,"{""n"": 21, ""S"": [2, 8, 9, 12, 13, 19], ""score"": 8.461335809337083}",local,
circulant_r3_n22,circulant_r3,22,9,22,6.0,0.0,6.0,6.0,0.0,0.28571428571428564,0.2857142857142857,2,8,2,2,8,8,9.474413741804717,3.9447073365658456,True,0,-1,1.4098018484275194,True,sum-free ILS in distance space O(n) vars,not_done,Z/22Z,numpy-openblas,data/adj/circulant_r3_n22.npy,0,1,0,0,1,1,0,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 22, ""S"": [2, 5, 6, 16, 17, 20], ""score"": 9.474413741804717}",local,
circulant_r3_n23,circulant_r3,23,9,23,6.0,0.0,6.0,6.0,0.0,0.27272727272727265,0.2727272727272727,2,8,2,2,8,8,9.906034264473258,3.290520176571439,True,0,-1,1.4167822033014115,True,sum-free ILS in distance space O(n) vars,not_done,Z/23Z,numpy-openblas,data/adj/circulant_r3_n23.npy,1,0,0,0,0,1,0,0,0,1,2c,"R(3,k)",fft,circulant,"{""n"": 23, ""S"": [1, 6, 10, 13, 17, 22], ""score"": 9.906034264473258}",local,
circulant_r3_n24,circulant_r3,24,10,24,8.0,0.0,8.0,8.0,0.0,0.34782608695652173,0.34782608695652173,2,9,2,2,9,9,10.51935380398662,5.757359312880714,True,0,-1,1.3741088103166372,True,sum-free ILS in distance space O(n) vars,not_done,Z/24Z,numpy-openblas,data/adj/circulant_r3_n24.npy,1,0,0,1,0,0,1,0,1,0,2c,"R(3,k)",fft,circulant,"{""n"": 24, ""S"": [1, 4, 7, 9, 15, 17, 20, 23], ""score"": 10.51935380398662}",local,
circulant_r3_n25,circulant_r3,25,10,25,6.0,0.0,6.0,6.0,0.0,0.25,0.25,2,9,2,2,9,9,11.04967146170258,2.76393202250021,True,0,-1,1.379729661461215,True,sum-free ILS in distance space O(n) vars,not_done,Z/25Z,numpy-openblas,data/adj/circulant_r3_n25.npy,1,0,0,0,0,1,0,0,0,1,2c,"R(3,k)",fft,circulant,"{""n"": 25, ""S"": [1, 6, 10, 15, 19, 24], ""score"": 11.04967146170258}",local,
circulant_r3_n26,circulant_r3,26,10,26,6.0,0.0,6.0,6.0,0.0,0.24000000000000002,0.24,2,9,2,2,9,9,11.005857866914413,2.9731398128620246,True,0,-1,1.3851516854212416,True,sum-free ILS in distance space O(n) vars,not_done,Z/26Z,numpy-openblas,data/adj/circulant_r3_n26.npy,1,0,0,1,0,0,1,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 26, ""S"": [1, 4, 7, 19, 22, 25], ""score"": 11.005857866914413}",local,
circulant_r3_n27,circulant_r3,27,10,27,6.0,0.0,6.0,6.0,0.0,0.23076923076923078,0.23076923076923078,2,9,2,2,9,9,11.9425173393359,3.0954278380245768,True,0,-1,1.3903891703159095,True,sum-free ILS in distance space O(n) vars,not_done,Z/27Z,numpy-openblas,data/adj/circulant_r3_n27.npy,1,0,1,0,0,0,0,1,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 27, ""S"": [1, 3, 8, 19, 24, 26], ""score"": 11.9425173393359}",local,
