graph_id,construction_type,N,k_target,provenance_seed,degree_mean,degree_std,degree_min,degree_max,degree_kurtosis,centrality_mean,edge_algebraic_label_mean,omega_exact,alpha_exact,omega_lower,omega_upper,alpha_lower,alpha_upper,theta_approx,spectral_gap,is_k_free,triangles,k4,n_1_over_k,exact,gpu_kernel,run001,field,device,adj_matrix_path,algebraic_residue_vec_0,algebraic_residue_vec_1,algebraic_residue_vec_2,algebraic_residue_vec_3,algebraic_residue_vec_4,algebraic_residue_vec_5,algebraic_residue_vec_6,algebraic_residue_vec_7,algebraic_residue_vec_8,algebraic_residue_vec_9,runtime_sec,params
paley_prime_power_p11_q121_n2,paley_prime_power,121,12,11,60.0,0.0,60.0,60.0,0.0,0.5,0.5,,,11,11,11,11,11.000000000000021,54.99999999999998,True,35090,-1,1.4913014754131089,False,F_p2_batch_pow on outer_diff,not_done,F_121,numpy-openblas,data/adj/paley_prime_power_p11_q121_n2.npy,1,1,1,1,1,1,1,1,1,1,0.0013,"{""p"": 11, ""n"": 2, ""q"": 121, ""nres"": 2}"
paley_prime_power_p13_q169_n2,paley_prime_power,169,14,13,84.0,0.0,84.0,84.0,0.0,0.5,0.5,,,13,13,13,13,13.000000000000016,78.00000000000004,True,97006,-1,1.4425629194429777,False,F_p2_batch_pow on outer_diff,not_done,F_169,numpy-openblas,data/adj/paley_prime_power_p13_q169_n2.npy,1,1,1,1,1,1,1,1,1,1,0.002,"{""p"": 13, ""n"": 2, ""q"": 169, ""nres"": 2}"
generalized_paley_p13_k3,generalized_paley,13,5,13,4.0,0.0,4.0,4.0,0.0,0.3333333333333333,0.3333333333333333,2,4,2,2,4,4,5.181736625420597,2.6227971460270405,True,0,0,1.6702776523348104,True,outer_diff + kth_power_residue,not_done,F_13,numpy-openblas,data/adj/generalized_paley_p13_k3.npy,1,0,0,0,1,0,0,1,0,0,0.0004,"{""p"": 13, ""k"": 3}"
generalized_paley_p19_k3,generalized_paley,19,5,19,6.0,0.0,6.0,6.0,0.0,0.33333333333333326,0.3333333333333333,3,4,3,3,4,4,5.240429751206538,3.492981355907018,True,38,0,1.8019831273171423,True,outer_diff + kth_power_residue,not_done,F_19,numpy-openblas,data/adj/generalized_paley_p19_k3.npy,1,0,0,0,0,0,1,1,0,0,0.0005,"{""p"": 19, ""k"": 3}"
generalized_paley_p31_k3,generalized_paley,31,7,31,10.0,0.0,10.0,10.0,0.0,0.3333333333333335,0.3333333333333333,,,3,4,6,6,7.686594316715031,6.916127640564386,True,155,0,1.6332462531687597,False,outer_diff + kth_power_residue,not_done,F_31,numpy-openblas,data/adj/generalized_paley_p31_k3.npy,1,1,0,1,0,0,0,1,0,0,0.0008,"{""p"": 31, ""k"": 3}"
generalized_paley_p37_k3,generalized_paley,37,9,37,12.0,0.0,12.0,12.0,0.0,0.33333333333333337,0.3333333333333333,,,3,3,7,8,9.835251543582247,9.812899192393585,True,148,0,1.4936355304176858,False,outer_diff + kth_power_residue,not_done,F_37,numpy-openblas,data/adj/generalized_paley_p37_k3.npy,1,0,0,0,0,1,0,1,0,1,0.0009,"{""p"": 37, ""k"": 3}"
generalized_paley_p43_k3,generalized_paley,43,9,43,14.0,0.0,14.0,14.0,0.0,0.33333333333333337,0.3333333333333333,,,3,4,7,8,10.465276377261878,11.11176399115659,True,301,0,1.5187856847554257,False,outer_diff + kth_power_residue,not_done,F_43,numpy-openblas,data/adj/generalized_paley_p43_k3.npy,1,1,0,1,0,0,0,1,0,0,0.0011,"{""p"": 43, ""k"": 3}"
generalized_paley_p61_k3,generalized_paley,61,9,61,20.0,0.0,20.0,20.0,0.0,0.3333333333333332,0.3333333333333333,,,3,5,8,8,11.778597210821982,15.769522294807318,True,1220,-1,1.5789558319019596,False,outer_diff + kth_power_residue,not_done,F_61,numpy-openblas,data/adj/generalized_paley_p61_k3.npy,1,0,1,0,0,0,0,1,1,0,0.0004,"{""p"": 61, ""k"": 3}"
generalized_paley_p67_k3,generalized_paley,67,10,67,22.0,0.0,22.0,22.0,0.0,0.33333333333333326,0.3333333333333333,,,3,5,8,9,13.038287070323953,17.914573343985786,True,1474,-1,1.5226759218487862,False,outer_diff + kth_power_residue,not_done,F_67,numpy-openblas,data/adj/generalized_paley_p67_k3.npy,1,0,1,0,1,0,0,1,1,0,0.0005,"{""p"": 67, ""k"": 3}"
generalized_paley_p73_k3,generalized_paley,73,10,73,24.0,0.0,24.0,24.0,0.0,0.3333333333333333,0.3333333333333333,,,4,5,7,9,12.204915264156574,19.049829574723105,True,2336,-1,1.5357915933617867,False,outer_diff + kth_power_residue,not_done,F_73,numpy-openblas,data/adj/generalized_paley_p73_k3.npy,1,0,1,0,0,0,1,1,1,1,0.0005,"{""p"": 73, ""k"": 3}"
generalized_paley_p79_k3,generalized_paley,79,14,79,26.0,0.0,26.0,26.0,0.0,0.3333333333333332,0.3333333333333333,,,3,5,9,13,15.270264599441889,22.878491145949592,True,2054,-1,1.3662959853670587,False,outer_diff + kth_power_residue,not_done,F_79,numpy-openblas,data/adj/generalized_paley_p79_k3.npy,1,0,0,0,0,0,0,1,0,1,0.0005,"{""p"": 79, ""k"": 3}"
generalized_paley_p97_k3,generalized_paley,97,10,97,32.0,0.0,32.0,32.0,0.0,0.33333333333333337,0.3333333333333333,,,5,8,8,9,11.037141583742857,25.79340631456069,True,6208,-1,1.580073077972056,False,outer_diff + kth_power_residue,not_done,F_97,numpy-openblas,data/adj/generalized_paley_p97_k3.npy,1,0,0,0,0,0,0,1,0,0,0.0007,"{""p"": 97, ""k"": 3}"
generalized_paley_p103_k3,generalized_paley,103,11,103,34.0,0.0,34.0,34.0,0.0,0.3333333333333335,0.3333333333333333,,,5,7,9,10,13.798380317600119,27.85360833839951,True,7004,-1,1.5240008254984645,False,outer_diff + kth_power_residue,not_done,F_103,numpy-openblas,data/adj/generalized_paley_p103_k3.npy,1,0,1,0,0,0,0,1,1,1,0.0008,"{""p"": 103, ""k"": 3}"
generalized_paley_p109_k3,generalized_paley,109,12,109,36.0,0.0,36.0,36.0,0.0,0.3333333333333334,0.3333333333333333,,,5,6,9,11,16.603689929006507,30.41996371582799,True,7194,-1,1.4783781715070103,False,outer_diff + kth_power_residue,not_done,F_109,numpy-openblas,data/adj/generalized_paley_p109_k3.npy,1,1,0,1,0,0,0,1,0,0,0.0009,"{""p"": 109, ""k"": 3}"
generalized_paley_p127_k3,generalized_paley,127,17,127,42.0,0.0,42.0,42.0,0.0,0.3333333333333334,0.3333333333333333,,,3,6,10,16,19.785291745651943,37.58977037908065,True,9779,-1,1.3296984424912093,False,outer_diff + kth_power_residue,not_done,F_127,numpy-openblas,data/adj/generalized_paley_p127_k3.npy,1,1,0,1,1,0,0,1,0,1,0.0011,"{""p"": 127, ""k"": 3}"
